%1. Title: Bundesliga Spielprognose
	@RELATION spiel

%Letzte drei Spiele
	@ATTRIBUTE tore NUMERIC
	@ATTRIBUTE gegentore NUMERIC
%Letzte fuenf Spiele
	@ATTRIBUTE niederlagen NUMERIC
	@ATTRIBUTE steigung NUMERIC
	@ATTRIBUTE heimvorteil {heim,gast}
	@ATTRIBUTE tag {montag,dienstag,mittwoch,donnerstag,freitag,samstag,sonntag}
	@ATTRIBUTE ausgang {sieg,niederlage,unentschieden}

	@DATA
	0,0,0,0,gast,samstag,niederlage
	0,0,0,0,heim,samstag,sieg
	0,0,0,0,gast,sonntag,sieg
	0,0,0,0,heim,sonntag,niederlage
	0,0,0,0,heim,sonntag,sieg
	0,0,0,0,gast,sonntag,niederlage
	0,0,0,0,heim,samstag,niederlage
	0,0,0,0,gast,samstag,sieg
	0,0,0,0,heim,samstag,unentschieden
	0,0,0,0,gast,samstag,unentschieden
	0,0,0,0,heim,samstag,niederlage
	0,0,0,0,gast,samstag,sieg
	0,0,0,0,gast,samstag,unentschieden
	0,0,0,0,heim,samstag,unentschieden
	0,0,0,0,heim,samstag,unentschieden
	0,0,0,0,gast,samstag,unentschieden
	0,0,0,0,gast,samstag,niederlage
	0,0,0,0,heim,samstag,sieg
	0,0,0,0,heim,samstag,sieg
	0,0,0,0,gast,samstag,niederlage
	0,0,0,0,heim,samstag,sieg
	0,0,0,0,gast,samstag,niederlage
	0,0,0,0,gast,sonntag,niederlage
	0,0,0,0,heim,sonntag,sieg
	0,0,0,0,gast,samstag,unentschieden
	0,0,0,0,heim,samstag,unentschieden
	0,0,0,0,gast,samstag,sieg
	0,0,0,0,heim,samstag,niederlage
	0,0,0,0,gast,samstag,sieg
	0,0,0,0,heim,samstag,niederlage
	0,0,0,0,gast,samstag,niederlage
	0,0,0,0,heim,samstag,sieg
	0,0,0,0,gast,samstag,sieg
	0,0,0,0,heim,samstag,niederlage
	0,0,0,0,gast,sonntag,sieg
	0,0,0,0,heim,sonntag,niederlage
	0,0,0,0,heim,samstag,unentschieden
	0,0,0,0,gast,samstag,unentschieden
	0,0,0,0,gast,sonntag,niederlage
	0,0,0,0,heim,sonntag,sieg
	0,0,0,0,heim,sonntag,unentschieden
	0,0,0,0,gast,sonntag,unentschieden
	0,0,0,0,heim,samstag,sieg
	0,0,0,0,gast,samstag,niederlage
	0,0,0,0,gast,freitag,unentschieden
	0,0,0,0,heim,freitag,unentschieden
	0,0,0,0,heim,freitag,sieg
	0,0,0,0,gast,freitag,niederlage
	0,0,0,0,heim,montag,niederlage
	0,0,0,0,gast,montag,sieg
	0,0,0,0,heim,freitag,niederlage
	0,0,0,0,gast,freitag,sieg
	0,0,0,0,gast,freitag,sieg
	0,0,0,0,heim,freitag,niederlage
	0,0,0,0,heim,freitag,sieg
	0,0,0,0,gast,freitag,niederlage
	0,0,0,0,gast,samstag,sieg
	2,1,1,2,heim,samstag,niederlage
	0,1,0,0,heim,sonntag,niederlage
	0,1,0,0,gast,sonntag,sieg
	0,1,0,0,heim,sonntag,niederlage
	0,1,0,0,gast,sonntag,sieg
	0,0,0,0,gast,samstag,unentschieden
	1,0,1,1,heim,samstag,unentschieden
	0,3,0,0,heim,samstag,sieg
	0,1,0,0,gast,samstag,niederlage
	3,0,1,3,gast,samstag,unentschieden
	1,0,1,1,heim,samstag,unentschieden
	0,1,0,0,gast,samstag,sieg
	1,0,1,1,heim,samstag,niederlage
	0,1,0,0,gast,samstag,sieg
	2,1,1,2,heim,samstag,niederlage
	1,2,0,1,gast,samstag,sieg
	0,0,0,0,heim,samstag,niederlage
	0,0,0,0,gast,samstag,niederlage
	0,0,0,0,heim,samstag,sieg
	0,0,0,0,heim,samstag,unentschieden
	0,3,0,0,gast,samstag,unentschieden
	3,1,1,3,gast,samstag,niederlage
	2,3,0,2,heim,samstag,sieg
	3,3,0,3,gast,samstag,sieg
	0,2,0,0,heim,samstag,niederlage
	1,0,1,1,heim,samstag,niederlage
	0,4,0,0,gast,samstag,sieg
	3,2,1,3,gast,samstag,niederlage
	1,3,0,1,heim,samstag,sieg
	2,2,0,2,gast,samstag,niederlage
	3,3,0,3,heim,samstag,sieg
	3,1,1,3,gast,samstag,niederlage
	1,6,0,1,heim,samstag,sieg
	6,1,1,6,gast,sonntag,unentschieden
	2,2,0,2,heim,sonntag,unentschieden
	1,0,1,1,heim,samstag,unentschieden
	1,0,1,1,gast,samstag,unentschieden
	1,0,1,1,gast,sonntag,unentschieden
	1,1,0,1,heim,sonntag,unentschieden
	4,0,1,4,heim,sonntag,niederlage
	0,1,0,0,gast,sonntag,sieg
	2,0,1,2,gast,samstag,sieg
	1,3,0,1,heim,samstag,niederlage
	2,0,1,2,gast,freitag,niederlage
	0,0,0,0,heim,freitag,sieg
	1,2,0,1,gast,freitag,unentschieden
	0,2,0,0,heim,freitag,unentschieden
	0,0,0,0,gast,freitag,unentschieden
	0,1,0,0,heim,freitag,unentschieden
	3,0,1,3,heim,freitag,niederlage
	1,0,1,1,gast,freitag,sieg
	2,1,1,2,heim,montag,unentschieden
	1,1,0,1,gast,montag,unentschieden
	1,2,0,1,gast,freitag,sieg
	1,0,1,1,heim,freitag,niederlage
	2,2,0,1,gast,samstag,unentschieden
	0,5,0,0,heim,samstag,unentschieden
	1,0,1,0,gast,samstag,niederlage
	2,5,0,1,heim,samstag,sieg
	1,0,1,0,heim,sonntag,sieg
	1,3,0,1,gast,sonntag,niederlage
	0,1,0,0,heim,sonntag,unentschieden
	4,1,1,4,gast,sonntag,unentschieden
	3,1,2,1,heim,sonntag,sieg
	0,2,0,0,gast,sonntag,niederlage
	4,0,2,3,gast,samstag,unentschieden
	5,2,1,2,heim,samstag,unentschieden
	3,2,1,2,gast,samstag,niederlage
	0,5,0,0,heim,samstag,sieg
	3,2,1,2,gast,samstag,niederlage
